,coconut_id_keyname,identifier_list,Molecular Weight,LogP,Molecular Formula,Number of H-Donors,Number of Rings,Number of H-Acceptors,Chi Connectivity Indices,Kappa Shape Indices,number_of_broken_Lipinski_Rules
0,CNP0216116,"InChI=1S/C6H4Br2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",251.90499999999997,2.9172000000000002,C6H4Br2O,1,1,1,4.198377302757663,7.091358574610246,0
1,CNP0085593,"InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H",173.009,2.1547,C6H5BrO,1,1,1,3.787693700234704,5.633333333333334,0
2,CNP0401033,"InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",163.003,2.6990000000000007,C6H4Cl2O,1,1,1,4.198377302757663,6.716279069767443,0
3,CNP0109649,"InChI=1S/C6H5ClO/c7-5-2-1-3-6(8)4-5/h1-4,8H",128.55799999999996,2.0455999999999994,C6H5ClO,1,1,1,3.787693700234704,5.446798905608755,0
4,CNP0088749,"InChI=1S/C6H4BrFO/c7-5-2-1-4(8)3-6(5)9/h1-3,9H",190.999,2.2938,C6H4BrFO,1,1,1,4.198377302757663,6.548623962040332,0
5,CNP0071171,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H",128.55799999999996,2.0456,C6H5ClO,1,1,1,3.804530452640311,5.446798905608755,0
6,CNP0155356,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",94.11299999999999,1.3921999999999999,C6H6O,1,1,1,3.393846850117352,4.18611295681063,0
7,CNP0061661,"InChI=1S/C6H4BrFO/c7-5-3-4(8)1-2-6(5)9/h1-3,9H",190.999,2.2938,C6H4BrFO,1,1,1,4.198377302757663,6.548623962040332,0
8,CNP0395062,"InChI=1S/C6H4BrFO/c7-5-2-1-4(9)3-6(5)8/h1-3,9H",190.99899999999997,2.2938,C6H4BrFO,1,1,1,4.198377302757663,6.548623962040332,0
9,CNP0236901,"InChI=1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4/h1-3,9H",163.00300000000001,2.699,C6H4Cl2O,1,1,1,4.198377302757663,6.716279069767443,0
10,CNP0032139,"InChI=1S/C6H5FO/c7-5-1-3-6(8)4-2-5/h1-4,8H",112.10299999999998,1.5312999999999999,C6H5FO,1,1,1,3.787693700234704,5.09388489208633,0
11,CNP0059204,"InChI=1S/C6H4BrFO/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",190.999,2.2938000000000005,C6H4BrFO,1,1,1,4.198377302757663,6.548623962040332,0
12,CNP0060336,"InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(9)6(4)8/h1-3,9H",163.003,2.6990000000000003,C6H4Cl2O,1,1,1,4.215214055163271,6.716279069767443,0
13,CNP0083000,"InChI=1S/C6H5BrO/c7-5-3-1-2-4-6(5)8/h1-4,8H",173.009,2.1547000000000005,C6H5BrO,1,1,1,3.804530452640311,5.633333333333334,0
14,CNP0386646,"InChI=1S/C6H4Cl2O/c7-5-2-1-4(9)3-6(5)8/h1-3,9H",163.003,2.699,C6H4Cl2O,1,1,1,4.198377302757663,6.716279069767443,0
15,CNP0334769,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",128.55799999999996,2.0456,C6H5ClO,1,1,1,3.787693700234704,5.446798905608755,0
16,CNP0331365,"InChI=1S/C6H5ClO2/c7-5-3-4(8)1-2-6(5)9/h1-3,8-9H",144.557,1.7511999999999994,C6H5ClO2,2,1,2,4.198377302757663,6.233304562268803,0
17,CNP0148599,"InChI=1S/C7H5NO/c8-5-6-1-3-7(9)4-2-6/h1-4,9H",119.12299999999996,1.26388,C7H5NO,1,1,2,4.325698502695489,5.643155792276964,0
18,CNP0409072,"InChI=1S/C6H5FO2/c7-4-2-1-3-5(8)6(4)9/h1-3,8-9H",128.10199999999998,1.2369,C6H5FO2,2,1,2,4.215214055163271,5.879032258064516,0
19,CNP0414137,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",110.11199999999998,1.0977999999999999,C6H6O2,2,1,2,3.787693700234704,4.966627565982405,0
20,CNP0246516,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H",110.11199999999998,1.0977999999999999,C6H6O2,2,1,2,3.787693700234704,4.966627565982405,0
21,CNP0161760,"InChI=1S/C6H5BrO2/c7-5-3-4(8)1-2-6(5)9/h1-3,8-9H",189.008,1.8603,C6H5BrO2,2,1,2,4.198377302757663,6.420481927710844,0
22,CNP0104146,"InChI=1S/C7H5NO/c8-5-6-2-1-3-7(9)4-6/h1-4,9H",119.12299999999996,1.26388,C7H5NO,1,1,2,4.325698502695489,5.643155792276964,0
23,CNP0178351,InChI=1S/C6H4N2O/c7-8-5-1-3-6(9)4-2-5/h1-4H/p+1,121.11899999999997,1.8767799999999997,C6H5N2O+,1,1,2,4.325698502695489,5.5744086021505375,0
24,CNP0143972,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",110.11199999999998,1.0977999999999999,C6H6O2,2,1,2,3.804530452640311,4.966627565982405,0
25,CNP0284631,"InChI=1S/C7H5NO2/c8-4-5-3-6(9)1-2-7(5)10/h1-3,9-10H",135.12199999999999,0.9694799999999997,C7H5NO2,2,1,3,4.736382105218448,6.4303369434416355,0
26,CNP0291002,"InChI=1S/C6H4ClNO3/c7-5-3-4(8(10)11)1-2-6(5)9/h1-3,9H",173.55499999999998,1.9537999999999995,C6H4ClNO3,1,1,3,5.1090609052806215,7.812986611740474,0
27,CNP0273783,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",139.10999999999999,1.3003999999999998,C6H5NO3,1,1,3,4.698377302757663,6.538764845605701,0
28,CNP0115137,"InChI=1S/C6H7NO/c7-5-3-1-2-4-6(5)8/h1-4,8H,7H2",109.128,0.9743999999999999,C6H7NO,2,1,2,3.804530452640311,4.966627565982405,0
29,CNP0172517,"InChI=1S/C6H7NO/c7-5-2-1-3-6(8)4-5/h1-4,8H,7H2",109.128,0.9743999999999999,C6H7NO,2,1,2,3.787693700234704,4.966627565982405,0
30,CNP0157204,"InChI=1S/C7H5NOS/c8-5-10-7-3-1-6(9)2-4-7/h1-4,9H",151.19,1.9653799999999997,C7H5NOS,1,1,3,4.825698502695489,6.972866817155756,0
31,CNP0187325,"InChI=1S/C6H6O3/c7-4-1-2-5(8)6(9)3-4/h1-3,7-9H",126.11099999999998,0.8033999999999999,C6H6O3,3,1,3,4.198377302757663,5.7512335958005245,0
32,CNP0106037,"InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H",122.12299999999996,1.2046999999999999,C7H6O2,1,1,2,4.325698502695489,5.820039011703511,0
33,CNP0420325,"InChI=1S/C6H6FNO/c7-4-1-2-5(8)6(9)3-4/h1-3,9H,8H2",127.118,1.1135000000000002,C6H6FNO,2,1,2,4.198377302757663,5.879032258064516,0
34,CNP0068656,"InChI=1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H",139.10999999999999,1.3003999999999998,C6H5NO3,1,1,3,4.715214055163269,6.538764845605701,0
35,CNP0293189,"InChI=1S/C7H5NO2/c8-4-5-1-2-6(9)3-7(5)10/h1-3,9-10H",135.12199999999999,0.9694800000000001,C7H5NO2,2,1,3,4.736382105218448,6.4303369434416355,0
36,CNP0295607,"InChI=1S/C6H5N3O/c10-5-3-1-2-4-6(5)8-9-7-4/h1-3,10H,(H,7,8,9)",135.126,0.6634999999999999,C6H5N3O,2,2,3,4.877010097711744,5.224179570052424,0
37,CNP0248019,"InChI=1S/C6H6FNO/c7-5-3-4(9)1-2-6(5)8/h1-3,9H,8H2",127.11799999999998,1.1134999999999997,C6H6FNO,2,1,2,4.198377302757663,5.879032258064516,0
38,CNP0070007,"InChI=1S/C6H6FNO/c7-5-3-4(8)1-2-6(5)9/h1-3,9H,8H2",127.11799999999998,1.1135,C6H6FNO,2,1,2,4.198377302757663,5.879032258064516,0
39,CNP0155663,"InChI=1S/C7H5NO2/c8-4-5-1-2-6(9)7(10)3-5/h1-3,9-10H",135.12199999999999,0.9694799999999999,C7H5NO2,2,1,3,4.736382105218448,6.4303369434416355,0
40,CNP0047539,"InChI=1S/C6H4ClNO3/c7-4-1-2-6(9)5(3-4)8(10)11/h1-3,9H",173.555,1.9537999999999998,C6H4ClNO3,1,1,3,5.1090609052806215,7.812986611740474,0
41,CNP0149529,"InChI=1S/C6H7NO/c7-5-1-3-6(8)4-2-5/h1-4,8H,7H2",109.128,0.9743999999999999,C6H7NO,2,1,2,3.787693700234704,4.966627565982405,0
42,CNP0079924,"InChI=1S/C7H5NO2/c9-7-5-3-1-2-4-6(5)10-8-7/h1-4H,(H,8,9)",135.12199999999996,1.5333999999999999,C7H5NO2,1,2,3,4.877010097711744,5.288577838576684,0
43,CNP0076387,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",122.12299999999996,1.2047,C7H6O2,1,1,2,4.325698502695489,5.820039011703511,0
