,coconut_id_keyname,identifier_list,Molecular Weight,LogP,Molecular Formula,Number of H-Donors,Number of Rings,Number of H-Acceptors,Chi Connectivity Indices,Kappa Shape Indices,number_of_broken_Lipinski_Rules
0,CNP0009107,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,112.55899999999997,2.34,C6H5Cl,0,1,0,3.393846850117352,4.663609831029186,0
1,CNP0341270,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,147.00400000000002,2.993400000000001,C6H4Cl2,0,1,0,3.787693700234704,5.9282051282051285,0
2,CNP0206286,InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H,181.449,3.6468000000000007,C6H3Cl3,0,1,0,4.198377302757663,7.200011001100109,0
3,CNP0284887,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,147.00399999999996,2.9934000000000003,C6H4Cl2,0,1,0,3.804530452640311,5.9282051282051285,0
4,CNP0080171,InChI=1S/C6H4Cl2/c7-5-2-1-3-6(8)4-5/h1-4H,147.004,2.993400000000001,C6H4Cl2,0,1,0,3.787693700234704,5.9282051282051285,0
5,CNP0401033,"InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",163.003,2.6990000000000007,C6H4Cl2O,1,1,1,4.198377302757663,6.716279069767443,0
6,CNP0231789,"InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(8)6(4)9/h1-3,9H",163.003,2.6990000000000003,C6H4Cl2O,1,1,1,4.215214055163271,6.716279069767443,0
7,CNP0109649,"InChI=1S/C6H5ClO/c7-5-2-1-3-6(8)4-5/h1-4,8H",128.55799999999996,2.0455999999999994,C6H5ClO,1,1,1,3.787693700234704,5.446798905608755,0
8,CNP0071171,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H",128.55799999999996,2.0456,C6H5ClO,1,1,1,3.804530452640311,5.446798905608755,0
9,CNP0236901,"InChI=1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4/h1-3,9H",163.00300000000001,2.699,C6H4Cl2O,1,1,1,4.198377302757663,6.716279069767443,0
10,CNP0060336,"InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(9)6(4)8/h1-3,9H",163.003,2.6990000000000003,C6H4Cl2O,1,1,1,4.215214055163271,6.716279069767443,0
11,CNP0386646,"InChI=1S/C6H4Cl2O/c7-5-2-1-4(9)3-6(5)8/h1-3,9H",163.003,2.699,C6H4Cl2O,1,1,1,4.198377302757663,6.716279069767443,0
12,CNP0334769,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",128.55799999999996,2.0456,C6H5ClO,1,1,1,3.787693700234704,5.446798905608755,0
13,CNP0161827,InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,172.01399999999998,2.8650800000000007,C7H3Cl2N,0,1,1,4.753218857624054,7.397642626480085,0
14,CNP0081205,"InChI=1S/C6H5ClFN/c7-5-2-1-4(9)3-6(5)8/h1-3H,9H2",145.564,2.0613,C6H5ClFN,1,1,1,4.198377302757663,6.361359223300972,0
15,CNP0331365,"InChI=1S/C6H5ClO2/c7-5-3-4(8)1-2-6(5)9/h1-3,8-9H",144.557,1.7511999999999994,C6H5ClO2,2,1,2,4.198377302757663,6.233304562268803,0
16,CNP0040093,"InChI=1S/C6H5Cl2N/c7-4-1-2-5(8)6(9)3-4/h1-3H,9H2",162.019,2.5755999999999997,C6H5Cl2N,1,1,1,4.198377302757663,6.716279069767443,0
17,CNP0079961,"InChI=1S/C6H5Cl2N/c7-4-2-1-3-5(9)6(4)8/h1-3H,9H2",162.019,2.5755999999999997,C6H5Cl2N,1,1,1,4.215214055163271,6.716279069767443,0
18,CNP0211688,"InChI=1S/C6H5ClFN/c7-4-1-2-6(9)5(8)3-4/h1-3H,9H2",145.564,2.0612999999999997,C6H5ClFN,1,1,1,4.198377302757663,6.361359223300972,0
19,CNP0042746,InChI=1S/C7H5ClO/c8-7-4-2-1-3-6(7)5-9/h1-5H,140.56899999999996,2.1525,C7H5ClO,0,1,1,4.342535255101096,6.302249388753057,0
20,CNP0262942,"InChI=1S/C6H5ClFN/c7-4-1-2-5(8)6(9)3-4/h1-3H,9H2",145.564,2.0612999999999997,C6H5ClFN,1,1,1,4.198377302757663,6.361359223300972,0
21,CNP0029750,"InChI=1S/C6H5Cl2N/c7-4-2-1-3-5(8)6(4)9/h1-3H,9H2",162.01899999999998,2.5756000000000006,C6H5Cl2N,1,1,1,4.215214055163271,6.716279069767443,0
22,CNP0048955,"InChI=1S/C6H5Cl2N/c7-4-1-2-6(9)5(8)3-4/h1-3H,9H2",162.019,2.5755999999999997,C6H5Cl2N,1,1,1,4.198377302757663,6.716279069767443,0
23,CNP0001453,"InChI=1S/C7H5ClO2/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,(H,9,10)/p-1",155.55999999999997,0.7034999999999999,C7H4ClO2-,0,1,2,4.698377302757662,7.091358574610246,0
24,CNP0309778,"InChI=1S/C6H6ClNS/c7-4-1-2-6(9)5(8)3-4/h1-3,9H,8H2/p-1",158.633,1.8279999999999998,C6H5ClNS-,1,1,2,4.198377302757663,6.647233294255568,0
